text	pinyin	frequency
双拼	shuang pin	1100
渐入	jian ru	1050
渐入渐出	jian ru jian chu	1000
光敏	guang min	1000
光敏性	guang min xing	1000
丝印	si yin	1000
欧姆	ou mu	1000
管脚	guan jiao	900
焊盘	han pan	900
过孔	guo kong	900
数据手册	shu ju shou ce	900
上拉	shang la	850
使能	shi neng	850
片选	pian xuan	850
走线	zou xian	850
外圈	wai quan	850
直角矩形	zhi jiao ju xing	850
网络标号	wang luo biao hao	800
测试点	ce shi dian	800
回流焊	hui liu han	800
阻焊	zu han	800
钢网	gang wang	800
焊点	han dian	750
排针	pai zhen	750
排母	pai mu	750
杜邦线	du bang xian	750
面包板	mian bao ban	750
逻辑分析仪	luo ji fen xi yi	700
差分线	cha fen xian	700
地平面	di ping mian	700
阻抗匹配	zu kang pi pei	700
信号完整性	xin hao wan zheng xing	650
电源完整性	dian yuan wan zheng xing	650
贴片电阻	tie pian dian zu	650
贴片电容	tie pian dian rong	650
印刷电路板	yin shua dian lu ban	650
物料清单	wu liao qing dan	650
嘉立创	jia li chuang	600
立创商城	li chuang shang cheng	600
